"id","condition","age","gender","country","feel_before","feel_after","trust_in_donation","notice","alone","comp_or_phone","willingness","amount_r","amount_n","willingness_n","eyes_n","emotion_n","alone_n","size_n","notice_n"
93,"Neutral",22,"Female","Hungary",8,7,6,"No","less than 5","Computer","Yes","donate 1200-2000 HUF",3,1,1,0,0,0,0
94,"Neutral",25,"Female","Denmark",6,6,1,"Yes","I'm alone","Phone","No","donate 100 DKK (donate all the money)",6,0,1,0,1,1,1
95,"Neutral",23,"Female","Other",7,7,5,"Yes","less than 5","Other","No","donate 50-70 DKK",4,0,1,0,0,0,1
96,"Neutral",23,"Female","Other",7,7,5,"Yes","less than 5","Other","No","donate 50-70 DKK",4,0,1,0,0,0,1
97,"Neutral",20,"Female","Denmark",8,9,6,"No","I'm alone","Phone","No","donate less than 10 DKK",1,0,1,0,1,1,0
98,"Neutral",22,"Female","Denmark",8,10,5,"No","I'm alone","Computer","Yes","donate 30-50 DKK",3,1,1,0,1,0,0
99,"Neutral",22,"Male","Denmark",7,7,3,"Yes","less than 5","Phone","No","donate less than 10 DKK",1,0,1,0,0,1,1
100,"Neutral",26,"Female","Denmark",5,5,6,"Yes","I'm alone","Computer","No","donate 30-50 DKK",3,0,1,0,1,0,1
101,"Neutral",21,"Female","Hungary",6,4,10,"Yes","I'm alone","Phone","Yes","donate 1200-2000 HUF",3,1,1,0,1,1,1
102,"Neutral",34,"Female","Denmark",7,7,6,"No","less than 5","Phone","No","donate 10-30 DKK",2,0,1,0,0,1,0
103,"Neutral",26,"Female","Denmark",2,2,4,"Yes","I'm alone","Phone","Yes","donate less than 10 DKK",1,1,1,0,1,1,1
104,"Neutral",21,"Female","Hungary",3,4,6,"No","I'm alone","Phone","Yes","donate 4000 HUF (donate all the money)",6,1,1,0,1,1,0
105,"Neutral",22,"Female","Denmark",3,3,2,"Yes","I'm alone","Computer","Yes","donate 10-30 DKK",2,1,1,0,1,0,1
106,"Neutral",20,"Male","Denmark",9,9,4,"No","I'm alone","Computer","No","donate less than 10 DKK",1,0,1,0,1,0,0
107,"Neutral",27,"Male","Denmark",4,5,8,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,1,1
108,"Neutral",39,"Female","Denmark",10,10,4,"No","less than 5","Other","Yes","donate 100 DKK (donate all the money)",6,1,1,0,0,0,0
109,"Neutral",23,"Female","Denmark",7,7,6,"Yes","more than 5","Phone","No","donate 100 DKK (donate all the money)",6,0,1,0,0,1,1
110,"Neutral",21,"Male","Hungary",7,8,7,"No","I'm alone","Phone","Yes","donate 2800-3600 HUF",5,1,1,0,1,1,0
111,"Neutral",22,"Male","Hungary",7,7,6,"Yes","I'm alone","Computer","Yes","donate 400-1200 HUF",2,1,1,0,1,0,1
112,"Neutral",23,"Male","Denmark",7,7,5,"No","I'm alone","Computer","Yes","donate 10-30 DKK",2,1,1,0,1,0,0
113,"Neutral",25,"Female","Denmark",6,7,8,"Yes","I'm alone","Computer","Yes","donate less than 10 DKK",1,1,1,0,1,0,1
